Id,0,Degree
Verda Bridges,cast,2
House Party 2,movie,12
George Jackson,director,11
Doug McHenry,director,11
Kamron,cast,3
Iman,cast,5
Queen Latifah,cast,14
House Party 3,movie,11
Eric Meza,director,11
David Edwards,cast,2
Angela Means,cast,2
Ketty Lester,cast,2
Bernie Mac,cast,14
Michael Colyar,cast,5
Chris Tucker,cast,10
Khandi Alexander,cast,2
I Got the Hook Up,movie,13
Michael Martin,director,13
Master P,cast,4
Anthony Johnson,cast,4
Gretchen Palmer,cast,2
Frantz Turner,cast,4
Richard Keats,cast,2
Joe Estevez,cast,2
William Knight,cast,2
Anthony Boswell,cast,2
Tommy 'Tiny' Lister,cast,6
Helen Martin,cast,2
John Witherspoon,cast,4
Mia X,cast,2
In Too Deep,movie,18
Michael Rymer,director,18
Omar Epps,cast,8
LL Cool J,cast,8
Nia Long,cast,10
Pam Grier,cast,8
Hill Harper,cast,6
Jake Weber,cast,4
David Patrick Kelly,cast,6
Veronica Webb,cast,2
Ron Canada,cast,4
Robert LaSardo,cast,4
Gano Grills,cast,2
Ivonne Coll,cast,2
Don Harvey,cast,5
Mya,cast,2
Nasir 'Nas' Jones,cast,8
Jermaine Dupri,cast,2
Initial D,movie,10
Andrew Lau Wai-keung,director,9
Alan Mak,director,9
Jay Chou,cast,14
Anne Suzuki,cast,5
Edison Chen,cast,6
Anthony Wong Chau-sang,cast,3
Shawn Yue,cast,18
Chapman To,cast,7
Jordan Chan,cast,5
Kenny Bee,cast,5
Janoskians: Untold and Untrue,movie,6
Brett Weiner,director,6
Jai Brooks,cast,2
Luke Brooks,cast,2
James Yammouni,cast,2
Daniel Sahyounie,cast,2
Beau Brooks,cast,4
Labyrinth,movie,11
Jim Henson,cast,20
David Bowie,cast,2
Jennifer Connelly,cast,4
Frank Oz,director,36
Kevin Clash,cast,8
Anthony Asbury,cast,2
Dave Goelz,cast,7
Brian Henson,director,13
Ron Mueck,cast,2
Karen Prell,cast,2
Shari Weiser,cast,2
Letters to Juliet,movie,14
Gary Winick,director,14
Christopher Egan,cast,2
Gael García Bernal,cast,16
Vanessa Redgrave,cast,11
Franco Nero,cast,2
Luisa Ranieri,cast,4
Marina Massironi,cast,2
Milena Vukotic,cast,4
Marcia DeBonis,cast,2
Luisa De Santis,cast,2
Lidia Biondi,cast,2
Giordano Formenti,cast,2
Chris Egan,cast,2
Level 16,movie,9
Danishka Esterhazy,director,9
Katie Douglas,cast,2
Celina Martin,cast,2
Peter Outerbridge,cast,4
Sara Canning,cast,2
Alexis Whelan,cast,2
Amalia Williamson,cast,2
Josette Halpert,cast,2
Kiana Madeira,cast,9
Love Don't Cost a Thing,movie,11
Troy Byer,director,11
Nick Cannon,cast,4
Christina Milian,cast,6
Kenan Thompson,cast,13
Kal Penn,cast,11
Steve Harvey,cast,6
Al Thompson,cast,4
Ashley Monique Clark,cast,2
Elimu Nelson,cast,2
Nichole Robinson,cast,2
Melissa Schuman,cast,2
Love in a Puff,movie,11
Pang Ho-cheung,director,23
Miriam Chin Wah Yeung,cast,8
Singh Hartihan Bitto,cast,5
Isabel Chan,cast,2
Cheung Tat-ming,cast,2
Matt Chow,cast,5
Chui Tien-you,cast,3
Queenie Chu,cast,3
Charmaine Fong,cast,5
Vincent Kok,cast,13
Mars Attacks!,movie,13
Tim Burton,director,36
Jack Nicholson,cast,12
Annette Bening,cast,10
Pierce Brosnan,cast,27
Danny DeVito,cast,12
Martin Short,cast,18
Sarah Jessica Parker,cast,15
Michael J. Fox,cast,7
Rod Steiger,cast,4
Tom Jones,cast,2
Lukas Haas,cast,8
Marshall,movie,11
Chadwick Boseman,cast,15
Josh Gad,cast,23
Kate Hudson,cast,10
Sterling K. Brown,cast,10
Dan Stevens,cast,6
James Cromwell,cast,16
