Id,Label,0,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Eshom Nelms,Eshom Nelms,director,14,0,19,0.151903,0.167171,0.000187
Ian Nelms,Ian Nelms,director,14,0,19,0.151903,0.167171,0.000187
Robert Forster,Robert Forster,cast,17,0,19,0.158168,0.17624,0.000695
Clifton Collins Jr.,Clifton Collins Jr.,cast,11,0,20,0.146713,0.160521,0.000155
Jeremy Ratchford,Jeremy Ratchford,cast,3,0,20,0.131873,0.141449,0
James Lafferty,James Lafferty,cast,3,0,20,0.131873,0.141449,0
Michael Vartan,Michael Vartan,cast,7,0,20,0.148799,0.163516,0.000153
Daniel Sunjata,Daniel Sunjata,cast,3,0,20,0.131873,0.141449,0
Stefanie Scott,Stefanie Scott,cast,9,0,20,0.139857,0.151496,0.000175
Caity Lotz,Caity Lotz,cast,3,0,20,0.131873,0.141449,0
Dale Dickey,Dale Dickey,cast,13,0,20,0.148597,0.162005,0.000413
Amy Tan: Unintended Memoir,Amy Tan: Unintended Memoir,movie,2,0,21,0.112583,0.118566,0
James Redford,James Redford,director,2,0,21,0.112583,0.118566,0
Amy Tan,Amy Tan,cast,4,0,20,0.126866,0.13561,0.000102
Sardar Ka Grandson,Sardar Ka Grandson,movie,13,0,21,0.124627,0.139108,0.000149
Kaashvie Nair,Kaashvie Nair,director,13,0,21,0.124627,0.139108,0.000149
Arjun Kapoor,Arjun Kapoor,cast,10,0,22,0.130788,0.145917,0.000139
Neena Gupta,Neena Gupta,cast,13,0,20,0.133286,0.147629,0.000253
Rakul Preet Singh,Rakul Preet Singh,cast,10,0,22,0.125057,0.138447,0.000871
Kumud Mishra,Kumud Mishra,cast,16,0,22,0.125782,0.140428,0.000184
Aditi Rao Hydari,Aditi Rao Hydari,cast,19,0,22,0.124276,0.139411,0.000156
Kanwaljeet Singh,Kanwaljeet Singh,cast,14,0,22,0.125936,0.140456,0.000707
Soni Razdan,Soni Razdan,cast,10,0,20,0.133753,0.148325,0.000187
Masood Akhtar,Masood Akhtar,cast,12,0,22,0.127025,0.140804,0.000966
Divya Seth,Divya Seth,cast,6,0,22,0.115751,0.128541,0.000051
Ravjeet Singh,Ravjeet Singh,cast,2,0,22,0.110817,0.120218,0
Akashdeep Sabir,Akashdeep Sabir,cast,2,0,22,0.110817,0.120218,0
Sleight,Sleight,movie,11,0,20,0.138849,0.150142,0.000109
J.D. Dillard,J.D. Dillard,director,17,0,19,0.141032,0.153255,0.000376
Seychelle Gabriel,Seychelle Gabriel,cast,6,0,20,0.139142,0.150592,0.000229
Sasheer Zamata,Sasheer Zamata,cast,4,0,20,0.133195,0.14277,0.000017
Storm Reid,Storm Reid,cast,4,0,20,0.139792,0.151723,0.000043
Dulé Hill,Dulé Hill,cast,2,0,20,0.123602,0.131479,0
Michael Villar,Michael Villar,cast,2,0,20,0.123602,0.131479,0
Brandon Johnson,Brandon Johnson,cast,2,0,20,0.123602,0.131479,0
Donzaleigh Abernathy,Donzaleigh Abernathy,cast,2,0,20,0.123602,0.131479,0
Jay Walker,Jay Walker,cast,4,0,20,0.126858,0.135408,0.000014
Ahaan,Ahaan,movie,10,0,21,0.120445,0.131151,0.000154
Nikhil Pherwani,Nikhil Pherwani,director,10,0,21,0.120445,0.131151,0.000154
Arif Zakaria,Arif Zakaria,cast,6,0,22,0.121773,0.134333,0.000116
Abuli Mamaji,Abuli Mamaji,cast,2,0,22,0.107498,0.114714,0
Niharika Singh,Niharika Singh,cast,2,0,22,0.107498,0.114714,0
